"TIME","GEO","UNIT","SEX","Value"
"2006","Luxembourg","Number","Females","10"
"2006","Hungary","Number","Total","1,303"
"2006","Hungary","Number","Males","1,008"
"2006","Hungary","Number","Females","293"
"2006","Malta","Number","Total","11"
"2006","Malta","Number","Males","11"
"2006","Malta","Number","Females","0"
"2006","Netherlands","Number","Total","730"
"2006","Netherlands","Number","Males","518"
"2006","Netherlands","Number","Females","212"
"2006","Austria","Number","Total","730"
"2006","Austria","Number","Males","540"
"2006","Austria","Number","Females","190"
"2006","Poland","Number","Total","5,243"
"2006","Poland","Number","Males","3,993"
"2006","Poland","Number","Females","1,232"
"2006","Portugal","Number","Total","969"
"2006","Portugal","Number","Males","779"
"2006","Portugal","Number","Females","182"
"2006","Romania","Number","Total","2,587"
"2006","Romania","Number","Males","1,926"
"2006","Romania","Number","Females","661"
"2006","Slovenia","Number","Total","262"
"2006","Slovenia","Number","Males","220"
"2006","Slovenia","Number","Females","42"
"2006","Slovakia","Number","Total","614"
"2006","Slovakia","Number","Males","480"
"2006","Slovakia","Number","Females","134"
"2006","Finland","Number","Total","336"
"2006","Finland","Number","Males","241"
"2006","Finland","Number","Females","95"
"2006","Sweden","Number","Total","445"
"2006","Sweden","Number","Males","333"
"2006","Sweden","Number","Females","112"
"2006","United Kingdom","Number","Total","3,298"
"2006","United Kingdom","Number","Males","2,492"
"2006","United Kingdom","Number","Females","806"
"2006","Iceland","Number","Total","31"
"2006","Iceland","Number","Males","20"
"2006","Iceland","Number","Females","11"
"2006","Liechtenstein","Number","Total","0"
"2006","Liechtenstein","Number","Males","0"
"2006","Liechtenstein","Number","Females","0"
"2006","Norway","Number","Total","242"
"2006","Norway","Number","Males","169"
"2006","Norway","Number","Females","73"
"2006","Switzerland","Number","Total","370"
"2006","Switzerland","Number","Males","280"
"2006","Switzerland","Number","Females","90"
"2007","Belgium","Number","Total","1,071"
"2007","Belgium","Number","Males","850"
"2007","Belgium","Number","Females","215"
"2007","Bulgaria","Number","Total",":"
"2007","Bulgaria","Number","Males",":"
"2007","Bulgaria","Number","Females",":"
"2007","Czech Republic","Number","Total","1,221"
"2007","Czech Republic","Number","Males","946"
"2007","Czech Republic","Number","Females","275"
"2007","Denmark","Number","Total","406"
"2007","Denmark","Number","Males","300"
"2007","Denmark","Number","Females","105"
"2007","Germany (until 1990 former territory of the FRG)","Number","Total","4,949"
"2007","Germany (until 1990 former territory of the FRG)","Number","Males","3,638"
"2007","Germany (until 1990 former territory of the FRG)","Number","Females","1,309"
"2007","Estonia","Number","Total","196"
"2007","Estonia","Number","Males","147"
"2007","Estonia","Number","Females","45"
"2007","Ireland","Number","Total","338"
"2007","Ireland","Number","Males","250"
"2007","Ireland","Number","Females","85"
"2007","Greece","Number","Total","1,612"
"2007","Greece","Number","Males","1,268"
"2007","Greece","Number","Females","338"
"2007","Spain","Number","Total","3,823"
"2007","Spain","Number","Males","2,985"
