"TIME","GEO","UNIT","TRA_INFR","Value"
"2006","Croatia","Number","Urban roads",":"
"2006","Croatia","Number","Rural roads",":"
"2006","Italy","Number","Motorways","590"
"2006","Italy","Number","Urban roads","2,494"
"2006","Italy","Number","Rural roads","2,585"
"2006","Cyprus","Number","Motorways","9"
"2006","Cyprus","Number","Urban roads","53"
"2006","Cyprus","Number","Rural roads","24"
"2006","Latvia","Number","Motorways","0"
"2006","Latvia","Number","Urban roads","148"
"2006","Latvia","Number","Rural roads","259"
"2006","Lithuania","Number","Motorways",":"
"2006","Lithuania","Number","Urban roads",":"
"2006","Lithuania","Number","Rural roads",":"
"2006","Luxembourg","Number","Motorways","6"
"2006","Luxembourg","Number","Urban roads","8"
"2006","Luxembourg","Number","Rural roads","26"
"2006","Hungary","Number","Motorways","55"
"2006","Hungary","Number","Urban roads","508"
"2006","Hungary","Number","Rural roads","740"
"2006","Malta","Number","Motorways","0"
"2006","Malta","Number","Urban roads","11"
"2006","Malta","Number","Rural roads","0"
"2006","Netherlands","Number","Motorways","0"
"2006","Netherlands","Number","Urban roads","283"
"2006","Netherlands","Number","Rural roads","447"
"2006","Austria","Number","Motorways","74"
"2006","Austria","Number","Urban roads","200"
"2006","Austria","Number","Rural roads","456"
"2006","Poland","Number","Motorways","55"
"2006","Poland","Number","Urban roads","2,349"
"2006","Poland","Number","Rural roads","2,839"
"2006","Portugal","Number","Motorways","84"
"2006","Portugal","Number","Urban roads","448"
"2006","Portugal","Number","Rural roads","437"
"2006","Romania","Number","Motorways","46"
"2006","Romania","Number","Urban roads","1,638"
"2006","Romania","Number","Rural roads","903"
"2006","Slovenia","Number","Motorways","33"
"2006","Slovenia","Number","Urban roads","92"
"2006","Slovenia","Number","Rural roads","137"
"2006","Slovakia","Number","Motorways","15"
"2006","Slovakia","Number","Urban roads","291"
"2006","Slovakia","Number","Rural roads","308"
"2006","Finland","Number","Motorways","17"
"2006","Finland","Number","Urban roads","93"
"2006","Finland","Number","Rural roads","226"
"2006","Sweden","Number","Motorways","26"
"2006","Sweden","Number","Urban roads","106"
"2006","Sweden","Number","Rural roads","312"
"2006","United Kingdom","Number","Motorways","185"
"2006","United Kingdom","Number","Urban roads","1,326"
"2006","United Kingdom","Number","Rural roads","1,787"
"2006","Iceland","Number","Motorways","0"
"2006","Iceland","Number","Urban roads","10"
"2006","Iceland","Number","Rural roads","21"
"2006","Liechtenstein","Number","Motorways","0"
"2006","Liechtenstein","Number","Urban roads","0"
"2006","Liechtenstein","Number","Rural roads","0"
"2006","Norway","Number","Motorways",":"
"2006","Norway","Number","Urban roads",":"
"2006","Norway","Number","Rural roads",":"
"2006","Switzerland","Number","Motorways","31"
"2006","Switzerland","Number","Urban roads","124"
"2006","Switzerland","Number","Rural roads","215"
"2007","Belgium","Number","Motorways","153"
"2007","Belgium","Number","Urban roads","275"
"2007","Belgium","Number","Rural roads","643"
"2007","Bulgaria","Number","Motorways",":"
"2007","Bulgaria","Number","Urban roads",":"
"2007","Bulgaria","Number","Rural roads",":"
"2007","Czech Republic","Number","Motorways","48"
"2007","Czech Republic","Number","Urban roads","442"
"2007","Czech Republic","Number","Rural roads","731"
"2007","Denmark","Number","Motorways","24"
"2007","Denmark","Number","Urban roads","129"
"2007","Denmark","Number","Rural roads","253"
"2007","Germany (until 1990 former territory of the FRG)","Number","Motorways","602"
"2007","Germany (until 1990 former territory of the FRG)","Number","Urban roads","1,335"
"2007","Germany (until 1990 former territory of the FRG)","Number","Rural roads","3,012"
"2007","Estonia","Number","Motorways","0"
"2007","Estonia","Number","Urban roads","63"
"2007","Estonia","Number","Rural roads","133"
"2007","Ireland","Number","Motorways","10"
"2007","Ireland","Number","Urban roads","77"
"2007","Ireland","Number","Rural roads","251"
"2007","Greece","Number","Motorways","140"
"2007","Greece","Number","Urban roads","724"
"2007","Greece","Number","Rural roads","748"
"2007","Spain","Number","Motorways","611"
"2007","Spain","Number","Urban roads","740"
"2007","Spain","Number","Rural roads","2,471"
"2007","France","Number","Motorways","273"
"2007","France","Number","Urban roads","1,359"
"2007","France","Number","Rural roads","2,988"
"2007","Croatia","Number","Motorways","65"
"2007","Croatia","Number","Urban roads","328"
"2007","Croatia","Number","Rural roads","226"
"2007","Italy","Number","Motorways","526"
"2007","Italy","Number","Urban roads","2,269"
"2007","Italy","Number","Rural roads","2,336"
"2007","Cyprus","Number","Motorways","13"
"2007","Cyprus","Number","Urban roads","49"
"2007","Cyprus","Number","Rural roads","27"
"2007","Latvia","Number","Motorways","0"
"2007","Latvia","Number","Urban roads","165"
"2007","Latvia","Number","Rural roads","254"
"2007","Lithuania","Number","Motorways",":"
"2007","Lithuania","Number","Urban roads",":"
"2007","Lithuania","Number","Rural roads",":"
"2007","Luxembourg","Number","Motorways","11"
"2007","Luxembourg","Number","Urban roads","9"
"2007","Luxembourg","Number","Rural roads","23"
"2007","Hungary","Number","Motorways","61"
"2007","Hungary","Number","Urban roads","505"
"2007","Hungary","Number","Rural roads","666"
"2007","Malta","Number","Motorways","0"
"2007","Malta","Number","Urban roads","12"
"2007","Malta","Number","Rural roads","0"
"2007","Netherlands","Number","Motorways","0"
"2007","Netherlands","Number","Urban roads","270"
"2007","Netherlands","Number","Rural roads","439"
"2007","Austria","Number","Motorways","74"
"2007","Austria","Number","Urban roads","173"
"2007","Austria","Number","Rural roads","444"
"2007","Poland","Number","Motorways","53"
"2007","Poland","Number","Urban roads","2,549"
"2007","Poland","Number","Rural roads","2,981"
"2007","Portugal","Number","Motorways","128"
"2007","Portugal","Number","Urban roads","389"
"2007","Portugal","Number","Rural roads","457"
"2007","Romania","Number","Motorways","41"
"2007","Romania","Number","Urban roads","1,780"
"2007","Romania","Number","Rural roads","979"
"2007","Slovenia","Number","Motorways","37"
"2007","Slovenia","Number","Urban roads","94"
"2007","Slovenia","Number","Rural roads","162"
"2007","Slovakia","Number","Motorways","19"
"2007","Slovakia","Number","Urban roads","298"
"2007","Slovakia","Number","Rural roads","344"
"2007","Finland","Number","Motorways","14"
"2007","Finland","Number","Urban roads","81"
"2007","Finland","Number","Rural roads","285"
"2007","Sweden","Number","Motorways","21"
"2007","Sweden","Number","Urban roads","127"
"2007","Sweden","Number","Rural roads","323"
"2007","United Kingdom","Number","Motorways","184"
"2007","United Kingdom","Number","Urban roads","1,178"
"2007","United Kingdom","Number","Rural roads","1,697"
"2007","Iceland","Number","Motorways","0"
"2007","Iceland","Number","Urban roads","1"
"2007","Iceland","Number","Rural roads","14"
"2007","Liechtenstein","Number","Motorways","0"
"2007","Liechtenstein","Number","Urban roads","0"
"2007","Liechtenstein","Number","Rural roads","0"
"2007","Norway","Number","Motorways",":"
"2007","Norway","Number","Urban roads",":"
"2007","Norway","Number","Rural roads",":"
"2007","Switzerland","Number","Motorways","47"
"2007","Switzerland","Number","Urban roads","141"
"2007","Switzerland","Number","Rural roads","196"
"2008","Belgium","Number","Motorways","139"
"2008","Belgium","Number","Urban roads","274"
"2008","Belgium","Number","Rural roads","531"
"2008","Bulgaria","Number","Motorways","38"
"2008","Bulgaria","Number","Urban roads","447"
"2008","Bulgaria","Number","Rural roads","576"
"2008","Czech Republic","Number","Motorways","30"
"2008","Czech Republic","Number","Urban roads","444"
"2008","Czech Republic","Number","Rural roads","602"
"2008","Denmark","Number","Motorways","31"
"2008","Denmark","Number","Urban roads","129"
"2008","Denmark","Number","Rural roads","246"
"2008","Germany (until 1990 former territory of the FRG)","Number","Motorways","495"
"2008","Germany (until 1990 former territory of the FRG)","Number","Urban roads","1,261"
"2008","Germany (until 1990 former territory of the FRG)","Number","Rural roads","2,721"
"2008","Estonia","Number","Motorways","0"
"2008","Estonia","Number","Urban roads","41"
"2008","Estonia","Number","Rural roads","91"
"2008","Ireland","Number","Motorways","2"
"2008","Ireland","Number","Urban roads","62"
"2008","Ireland","Number","Rural roads","216"
"2008","Greece","Number","Motorways","120"
"2008","Greece","Number","Urban roads","744"
"2008","Greece","Number","Rural roads","689"
"2008","Spain","Number","Motorways","487"
"2008","Spain","Number","Urban roads","634"
